,Unnamed: 0,Location_Code,Latitude,Longitude,Economic_Need_Index,Percent_ELL,Percent_Asian,Percent_Black,Percent_Hispanic,Percent_Black_Hispanic,Percent_White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction_Per,Collaborative_Teachers_Per,Supportive_Environment_Per,Strong_Family_Community_Ties_Per,Total_Proficiency_Average,SA_Rating_Exceeding_Target,SA_Rating_Meeting_Target,SA_Rating_Not_Meeting_Target,Community_School_Yes,Grades
132,132,05M123,40.820192,-73.944457,0.835,0.17,0.02,0.52,0.41,0.93,0.04,0.88,0.49,0.83,0.72,0.84,0.82,2.055,0,0,0,1,"PK,0K,01,02,03,04,05,06,07,08"
133,133,05M125,40.81064,-73.95584699999998,0.805,0.11,0.06,0.43,0.42,0.85,0.07,0.91,0.38,0.83,0.9,0.96,0.89,2.965,1,0,0,0,"0K,01,02,03,04,05"
134,134,05M129,40.814981,-73.95212099999998,0.8540000000000001,0.11,0.02,0.42,0.51,0.93,0.01,0.92,0.33,0.9,0.91,0.82,0.81,2.335,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
135,135,05M133,40.809663,-73.939148,0.875,0.06,0.04,0.52,0.37,0.89,0.05,0.91,0.34,0.84,0.73,0.76,0.76,2.2,0,1,0,0,"PK,0K,01,02,03,04,05"
136,136,05M148,40.817282,-73.947238,0.747,0.03,0.0,0.74,0.24,0.98,0.01,0.88,0.47,0.92,0.91,0.83,0.82,2.14,0,0,0,0,"06,07,08,09,10,11,12"
137,137,05M154,40.810555,-73.948862,0.899,0.15,0.04,0.55,0.36,0.9,0.04,0.92,0.31,0.91,0.87,0.93,0.82,2.155,0,0,0,1,"PK,0K,01,02,03,04,05"
138,138,05M161,40.817721,-73.95245899999998,0.875,0.27,0.03,0.18,0.77,0.95,0.01,0.91,0.35,0.89,0.89,0.85,0.86,2.33,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
139,139,05M175,40.814259,-73.942662,0.893,0.12,0.02,0.64,0.3,0.93,0.04,0.91,0.39,0.93,0.92,0.91,0.84,2.2,0,0,0,0,"PK,0K,01,02,03,04,05"
140,140,05M194,40.821182,-73.940665,0.898,0.18,0.02,0.52,0.4,0.92,0.03,0.9,0.47,0.91,0.73,0.94,0.87,2.01,0,0,0,1,"0K,01,02,03,04,05"
141,141,05M197,40.813297999999996,-73.937828,0.8740000000000001,0.06,0.0,0.62,0.33,0.95,0.03,0.88,0.47,0.94,0.92,0.92,0.92,2.24,0,1,0,0,"PK,0K,01,02,03,04,05"
142,142,05M200,40.823955,-73.935802,0.892,0.11,0.0,0.54,0.4,0.94,0.02,0.88,0.46,0.83,0.88,0.89,0.85,2.125,0,0,0,0,"PK,0K,01,02,03,04,05"
143,143,05M286,40.815745,-73.9556,0.8170000000000001,0.06,0.0,0.59,0.39,0.98,0.01,0.87,0.42,0.92,0.86,0.9,0.78,2.02,0,0,1,0,"06,07,08"
144,144,05M302,40.817282,-73.947238,0.852,0.14,0.06,0.53,0.39,0.92,0.01,0.9,0.35,0.77,0.81,0.81,0.83,2.025,0,0,0,0,"06,07,08"
145,145,05M318,40.825964,-73.937942,0.7829999999999999,0.02,0.03,0.79,0.14,0.93,0.01,0.91,0.31,0.97,0.91,0.89,0.93,2.585,0,0,0,0,"0K,01,02,03,04,05"
146,146,05M362,40.81064,-73.95584699999998,0.507,0.0,0.12,0.21,0.44,0.65,0.2,0.98,0.01,0.87,0.92,0.88,0.84,3.6,1,0,0,0,"06,07,08,09,10,11,12"
147,147,05M499,40.824397999999995,-73.936545,0.708,0.03,0.01,0.71,0.23,0.94,0.02,0.93,0.22,0.89,0.86,0.79,0.78,2.325,0,0,0,0,"06,07,08,09,10,11,12"
148,148,05M514,40.819764,-73.95724,0.8809999999999999,0.11,0.01,0.52,0.43,0.95,0.03,0.91,0.27,0.83,0.79,0.81,0.78,2.01,0,0,0,0,"06,07,08"
149,149,05M670,40.815296999999994,-73.944304,0.732,0.03,0.01,0.74,0.23,0.97,0.0,0.96,0.05,0.79,0.9,0.79,0.74,2.37,0,0,0,0,"07,08,09,10,11,12"
150,150,06M004,40.834846999999996,-73.941204,0.8440000000000001,0.4,0.01,0.08,0.91,0.98,0.0,0.92,0.33,0.91,0.84,0.87,0.82,2.285,0,0,0,0,"PK,0K,01,02,03,04,05"
151,151,06M005,40.85892,-73.922428,0.851,0.46,0.01,0.06,0.92,0.98,0.0,0.93,0.26,0.89,0.86,0.9,0.86,2.195,0,0,0,0,"0K,01,02,03,04,05"
152,152,06M008,40.839384,-73.93678299999998,0.841,0.31,0.0,0.04,0.96,0.99,0.01,0.93,0.2,0.91,0.86,0.85,0.89,2.295,0,1,0,0,"0K,01,02,03,04,05"
153,153,06M018,40.87164600000001,-73.911618,0.823,0.44,0.0,0.01,0.97,0.98,0.02,0.93,0.23,0.92,0.87,0.86,0.85,2.23,0,1,0,0,"0K,01,02,03,04,05,06,07,08"
154,154,06M028,40.831655,-73.942079,0.9009999999999999,0.32,0.01,0.12,0.84,0.95,0.04,0.94,0.2,0.96,0.96,0.96,0.85,2.48,0,1,0,0,"PK,0K,01,02,03,04,05"
155,155,06M048,40.853324,-73.933497,0.8009999999999999,0.3,0.01,0.01,0.96,0.97,0.02,0.94,0.16,0.86,0.88,0.89,0.84,2.335,0,1,0,0,"PK,0K,01,02,03,04,05"
156,156,06M052,40.865914000000004,-73.925157,0.8240000000000001,0.32,0.0,0.04,0.93,0.97,0.02,0.93,0.23,0.85,0.91,0.83,0.91,2.26,0,1,0,0,"06,07,08"
157,157,06M098,40.867823,-73.91781800000003,0.856,0.38,0.01,0.02,0.94,0.96,0.03,0.93,0.26,0.85,0.74,0.87,0.86,2.225,0,0,0,0,"PK,0K,01,02,03,04,05"
158,158,06M115,40.846134,-73.935144,0.882,0.33,0.0,0.01,0.96,0.97,0.02,0.92,0.27,0.93,0.88,0.94,0.84,2.24,0,1,0,0,"0K,01,02,03,04,05"
159,159,06M128,40.841046999999996,-73.938751,0.8170000000000001,0.28,0.01,0.03,0.95,0.98,0.01,0.91,0.29,0.92,0.93,0.94,0.89,2.295,0,0,0,0,"PK,0K,01,02,03,04,05"
160,160,06M132,40.850543,-73.933933,0.857,0.46,0.0,0.01,0.98,0.99,0.01,0.95,0.14,0.87,0.8,0.9,0.85,2.2350000000000003,0,1,0,1,"0K,01,02,03,04,05"
161,161,06M143,40.849099,-73.931106,0.8490000000000001,0.52,0.0,0.01,0.96,0.97,0.03,0.91,0.24,0.82,0.83,0.81,0.76,2.09,0,1,0,0,"06,07,08"
162,162,06M152,40.860052,-73.927601,0.8690000000000001,0.29,0.0,0.02,0.96,0.98,0.01,0.94,0.22,0.91,0.87,0.89,0.84,2.355,0,1,0,0,"PK,0K,01,02,03,04,05"
163,163,06M153,40.826477000000004,-73.947458,0.8340000000000001,0.29,0.02,0.2,0.74,0.94,0.03,0.93,0.26,0.96,0.86,0.95,0.87,2.44,0,1,0,0,"PK,0K,01,02,03,04,05"
164,164,06M173,40.845620000000004,-73.939738,0.75,0.16,0.03,0.03,0.92,0.94,0.03,0.93,0.24,0.9,0.76,0.87,0.77,2.515,0,1,0,0,"PK,0K,01,02,03,04,05"
165,165,06M178,40.859317,-73.928232,0.721,0.14,0.01,0.02,0.84,0.86,0.12,0.95,0.11,0.96,0.97,0.95,0.92,2.775,0,1,0,0,"0K,01,02"
166,166,06M187,40.856137,-73.93729499999998,0.406,0.07,0.02,0.03,0.58,0.61,0.34,0.95,0.11,0.91,0.91,0.88,0.9,2.91,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
167,167,06M189,40.853091,-73.927999,0.872,0.29,0.0,0.01,0.96,0.97,0.02,0.94,0.18,0.9,0.86,0.91,0.85,2.39,0,1,0,0,"PK,0K,01,02,03,04,05"
168,168,06M192,40.820988,-73.952995,0.8290000000000001,0.25,0.0,0.07,0.92,0.98,0.01,0.92,0.26,0.92,0.83,0.93,0.88,2.2750000000000004,0,0,0,0,"PK,0K,01,02,03,04,05"
169,169,06M209,40.820988,-73.952995,0.7859999999999999,0.34,0.01,0.11,0.85,0.96,0.03,0.96,0.1,0.73,0.78,0.79,0.79,2.2,0,1,0,0,"06,07,08"
170,170,06M210,40.830009000000004,-73.944648,0.8,0.33,0.01,0.03,0.96,0.99,0.0,0.95,0.12,0.94,0.92,0.91,0.86,2.54,1,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
171,171,06M218,40.860820000000004,-73.930066,0.84,0.49,0.0,0.02,0.93,0.96,0.03,0.92,0.24,0.91,0.81,0.9,0.84,2.09,0,0,0,0,"06,07,08"
172,172,06M223,40.816171999999995,-73.952104,0.7240000000000001,0.04,0.01,0.09,0.84,0.93,0.04,0.94,0.16,0.92,0.88,0.87,0.73,3.065,1,0,0,0,"06,07,08"
173,173,06M278,40.871567,-73.912337,0.604,0.12,0.02,0.03,0.77,0.8,0.17,0.95,0.13,0.97,0.96,0.94,0.86,2.81,0,1,0,0,"0K,01,02,03,04,05,06,07,08"
174,174,06M293,40.860820000000004,-73.930066,0.708,0.05,0.01,0.05,0.92,0.97,0.02,0.95,0.1,0.85,0.79,0.88,0.71,2.89,1,0,0,0,"06,07,08,09,10,11,12"
175,175,06M311,40.866521999999996,-73.92381800000003,0.713,0.22,0.02,0.01,0.91,0.93,0.05,0.96,0.07,0.86,0.89,0.86,0.92,2.465,0,0,0,0,"0K,01,02,03,04,05,06,07,08"
176,176,06M314,40.866521999999996,-73.92381800000003,0.429,0.04,0.04,0.03,0.46,0.49,0.42,0.95,0.07,0.99,0.96,0.97,0.96,3.01,1,0,0,0,"0K,01,02,03,04,05"
177,177,06M319,40.839408,-73.935772,0.838,0.31,0.0,0.05,0.93,0.98,0.01,0.94,0.18,0.94,0.92,0.92,0.88,2.255,0,1,0,0,"06,07,08"
178,178,06M322,40.860820000000004,-73.930066,0.861,0.51,0.0,0.03,0.95,0.98,0.01,0.93,0.23,0.8,0.83,0.86,0.9,2.175,0,1,0,0,"06,07,08,SE"
179,179,06M324,40.839408,-73.935772,0.779,0.27,0.02,0.11,0.85,0.95,0.03,0.95,0.15,0.93,0.95,0.91,0.85,2.475,1,0,0,0,"06,07,08"
180,180,06M325,40.820988,-73.952995,0.8640000000000001,0.32,0.0,0.05,0.91,0.96,0.04,0.93,0.27,0.88,0.88,0.93,0.83,2.165,0,0,0,0,"0K,01,02,03,04,05"
181,181,06M328,40.836912,-73.937412,0.8340000000000001,0.36,0.01,0.12,0.85,0.97,0.01,0.87,0.43,0.91,0.87,0.88,0.84,1.975,0,0,0,0,"06,07,08"
182,182,06M346,40.833487,-73.94244599999998,0.85,0.19,0.01,0.07,0.91,0.98,0.01,0.93,0.2,0.87,0.95,0.89,0.8,2.27,0,1,0,0,"06,07,08,09,10,11,12"
183,183,06M348,40.849099,-73.931106,0.84,0.17,0.01,0.03,0.94,0.97,0.02,0.94,0.18,0.83,0.87,0.89,0.79,2.575,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12"
184,184,06M349,40.845620000000004,-73.939738,0.878,0.91,0.0,0.0,1.0,1.0,0.0,0.97,0.03,0.85,0.93,0.89,0.85,1.92,0,0,0,0,"06,07,08"
185,185,06M366,40.865573,-73.92160200000002,0.777,0.17,0.02,0.01,0.94,0.95,0.02,0.94,0.13,0.95,0.89,0.92,0.88,2.645,0,1,0,0,"0K,01,02,03,04,05,06,07,08"
186,186,06M368,40.826477000000004,-73.947458,0.7559999999999999,0.16,0.05,0.19,0.58,0.77,0.15,0.92,0.27,0.95,0.93,0.85,0.93,2.3,0,0,0,0,"0K,01,02,03,04,05"
187,187,06M528,40.850676,-73.934697,0.867,0.19,0.01,0.02,0.97,0.99,0.0,0.95,0.14,0.82,0.82,0.91,0.85,2.215,0,1,0,1,"06,07,08"
188,188,07X001,40.819101,-73.91941,0.915,0.25,0.0,0.23,0.74,0.97,0.02,0.92,0.33,0.9,0.89,0.9,0.83,2.21,0,0,0,0,"PK,0K,01,02,03,04,05"
189,189,07X005,40.813613000000004,-73.908429,0.905,0.24,0.0,0.27,0.71,0.98,0.01,0.91,0.36,0.9,0.87,0.81,0.82,2.13,0,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
190,190,07X018,40.816249,-73.922585,0.914,0.26,0.02,0.29,0.64,0.94,0.03,0.92,0.29,0.88,0.9,0.9,0.83,2.28,0,1,0,0,"PK,0K,01,02,03,04,05"
191,191,07X025,40.812853999999994,-73.905725,0.863,0.14,0.01,0.11,0.87,0.97,0.01,0.93,0.23,0.93,0.89,0.91,0.82,2.395,0,1,0,0,"PK,0K,01,02,03,04,05,SE"
192,192,07X029,40.821611,-73.916768,0.8909999999999999,0.13,0.03,0.28,0.67,0.96,0.01,0.91,0.35,0.9,0.91,0.92,0.84,2.12,0,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
193,193,07X030,40.809065000000004,-73.91752,0.9229999999999999,0.17,0.02,0.21,0.75,0.96,0.02,0.9,0.4,0.87,0.9,0.91,0.9,2.12,0,0,0,0,"PK,0K,01,02,03,04,05"
194,194,07X031,40.822539,-73.921487,0.878,0.13,0.02,0.27,0.69,0.96,0.01,0.9,0.39,0.86,0.86,0.85,0.81,2.065,0,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
195,195,07X043,40.806419,-73.921424,0.91,0.09,0.0,0.27,0.71,0.98,0.01,0.91,0.33,0.89,0.95,0.9,0.86,2.375,1,0,0,0,"PK,0K,01,02,03,04,05"
196,196,07X049,40.810342,-73.922626,0.924,0.16,0.0,0.29,0.68,0.98,0.01,0.92,0.3,0.87,0.83,0.81,0.83,2.3200000000000003,0,1,0,0,"PK,0K,01,02,03,04,05"
197,197,07X065,40.807731,-73.912768,0.9570000000000001,0.12,0.03,0.32,0.64,0.96,0.01,0.89,0.48,0.92,0.88,0.88,0.84,2.09,0,0,0,0,"PK,0K,01,02,03,04,05"
198,198,07X151,40.822539,-73.921487,0.89,0.34,0.01,0.28,0.69,0.98,0.01,0.92,0.29,0.88,0.9,0.85,0.8,2.04,0,1,0,0,"06,07,08"
199,199,07X154,40.808254999999996,-73.925748,0.912,0.1,0.0,0.4,0.57,0.97,0.01,0.93,0.25,0.93,0.95,0.92,0.84,2.31,0,1,0,1,"PK,0K,01,02,03,04,05"
200,200,07X157,40.819262,-73.909065,0.879,0.09,0.0,0.3,0.69,0.99,0.0,0.9,0.41,0.92,0.91,0.93,0.82,2.365,0,1,0,0,"PK,0K,01,02,03,04,05"
201,201,07X161,40.814507,-73.905159,0.9059999999999999,0.19,0.01,0.23,0.73,0.96,0.02,0.91,0.37,0.9,0.87,0.91,0.79,2.405,0,1,0,0,"PK,0K,01,02,03,04,05"
202,202,07X162,40.814702000000004,-73.912036,0.9059999999999999,0.24,0.01,0.29,0.7,0.99,0.01,0.89,0.39,0.92,0.93,0.85,0.82,2.0,0,0,0,1,"06,07,08"
203,203,07X179,40.809216,-73.92003199999998,0.899,0.3,0.01,0.15,0.83,0.98,0.0,0.92,0.33,0.94,0.92,0.9,0.85,2.33,0,1,0,0,"PK,0K,01,02,03,04,05"
204,204,07X221,40.813507,-73.920477,0.872,0.08,0.01,0.24,0.72,0.96,0.02,0.93,0.21,0.89,0.92,0.89,0.74,2.3200000000000003,0,1,0,0,"06,07,08,09,10,11,12"
205,205,07X223,40.813507,-73.920477,0.866,0.09,0.0,0.2,0.79,0.99,0.01,0.95,0.12,0.84,0.76,0.85,0.75,2.6500000000000004,0,1,0,0,"06,07,08,09,10,11,12"
206,206,07X224,40.810207,-73.91839,0.903,0.26,0.0,0.25,0.74,0.98,0.01,0.9,0.35,0.87,0.87,0.81,0.79,2.155,0,1,0,0,"06,07,08"
207,207,07X277,40.813307,-73.913837,0.9279999999999999,0.16,0.0,0.23,0.74,0.97,0.01,0.93,0.22,0.9,0.9,0.89,0.87,2.46,0,1,0,0,"PK,0K,01,02,03,04,05"
208,208,07X296,40.818906,-73.905333,0.9079999999999999,0.13,0.01,0.34,0.63,0.97,0.01,0.89,0.38,0.78,0.75,0.82,0.71,2.085,0,0,0,0,"06,07,08"
209,209,07X298,40.818906,-73.905333,0.882,0.23,0.0,0.26,0.72,0.98,0.01,0.9,0.37,0.82,0.92,0.75,0.75,2.055,0,1,0,0,"06,07,08"
210,210,07X343,40.810207,-73.91839,0.885,0.1,0.01,0.26,0.72,0.99,0.01,0.92,0.29,0.9,0.88,0.87,0.79,2.54,1,0,0,0,"06,07,08"
211,211,07X369,40.809216,-73.92003199999998,0.9229999999999999,0.47,0.0,0.18,0.81,0.99,0.01,0.92,0.3,0.75,0.86,0.83,0.88,2.005,0,0,0,0,"PK,0K,01,02,03,04,05"
212,212,07X500,40.814702000000004,-73.912036,0.799,0.05,0.03,0.18,0.76,0.94,0.01,0.93,0.21,0.83,0.79,0.76,0.77,2.225,0,0,0,0,"06,07,08,09,10,11,12"
213,213,07X551,40.81366,-73.925999,0.882,0.14,0.01,0.3,0.67,0.97,0.02,0.9,0.33,0.8,0.79,0.76,0.77,2.0700000000000003,0,0,0,0,"06,07,08,09,10,11,12,SE"
214,214,08X014,40.835535,-73.825861,0.498,0.05,0.04,0.06,0.65,0.71,0.24,0.93,0.22,0.94,0.96,0.98,0.84,2.705,0,1,0,0,"0K,01,02,03,04,05"
215,215,08X036,40.829446000000004,-73.849749,0.779,0.16,0.19,0.11,0.64,0.76,0.03,0.93,0.24,0.94,0.95,0.96,0.87,2.665,1,0,0,0,"PK,0K,01,02,03,04,05"
216,216,08X048,40.814228,-73.886889,0.922,0.18,0.01,0.26,0.71,0.97,0.01,0.92,0.31,0.88,0.84,0.86,0.77,2.14,0,1,0,0,"PK,0K,01,02,03,04,05"
217,217,08X062,40.813875,-73.90019000000002,0.8959999999999999,0.11,0.0,0.2,0.77,0.96,0.03,0.91,0.35,0.89,0.94,0.92,0.85,2.25,0,1,0,0,"PK,0K,01,02,03,04,05"
218,218,08X069,40.816837,-73.860541,0.7509999999999999,0.08,0.02,0.16,0.8,0.96,0.01,0.93,0.22,0.94,0.86,0.92,0.81,2.87,1,0,0,0,"PK,0K,01,02,03,04,05"
219,219,08X071,40.845595,-73.829638,0.511,0.07,0.07,0.04,0.62,0.66,0.26,0.93,0.22,0.93,0.93,0.86,0.79,2.765,1,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
220,220,08X072,40.823158,-73.818136,0.7609999999999999,0.05,0.03,0.19,0.72,0.92,0.05,0.91,0.35,0.91,0.87,0.89,0.83,2.385,0,1,0,0,"PK,0K,01,02,03,04,05,SE"
221,221,08X075,40.82229,-73.88896,0.922,0.13,0.01,0.26,0.71,0.97,0.01,0.91,0.36,0.93,0.92,0.91,0.8,2.29,0,1,0,0,"PK,0K,01,02,03,04,05"
222,222,08X093,40.822513,-73.877255,0.667,0.09,0.0,0.57,0.4,0.97,0.02,0.93,0.28,0.96,0.95,0.95,0.93,2.29,0,0,0,0,"PK,0K,01,02,03,04,05"
223,223,08X100,40.821909999999995,-73.862615,0.86,0.05,0.01,0.33,0.64,0.97,0.01,0.92,0.31,0.94,0.95,0.91,0.82,2.33,0,1,0,0,"PK,0K,01,02,03,04,05"
224,224,08X101,40.827214,-73.829212,0.489,0.01,0.14,0.1,0.56,0.66,0.2,0.95,0.15,0.89,0.86,0.88,0.73,2.8150000000000004,0,1,0,0,"06,07,08"
225,225,08X107,40.818887,-73.86860899999998,0.9129999999999999,0.09,0.01,0.32,0.64,0.96,0.03,0.9,0.43,0.95,0.93,0.92,0.83,2.225,0,1,0,0,"PK,0K,01,02,03,04,05"
226,226,08X119,40.828493,-73.856571,0.8,0.25,0.31,0.09,0.51,0.6,0.07,0.94,0.21,0.84,0.89,0.92,0.86,2.545,0,1,0,0,"PK,0K,01,02,03,04,05"
227,227,08X123,40.824884000000004,-73.873517,0.8759999999999999,0.24,0.01,0.21,0.78,0.99,0.0,0.91,0.28,0.67,0.64,0.78,0.71,2.065,0,0,0,1,"06,07,08"
228,228,08X125,40.829414,-73.856783,0.821,0.23,0.2,0.17,0.54,0.71,0.07,0.9,0.33,0.89,0.86,0.84,0.78,2.26,0,1,0,0,"06,07,08"
229,229,08X130,40.817778000000004,-73.901831,0.872,0.23,0.02,0.23,0.73,0.96,0.02,0.92,0.27,0.95,0.92,0.93,0.86,2.145,0,1,0,0,"PK,0K,01,02,03,04,05"
230,230,08X131,40.823319,-73.860062,0.812,0.08,0.03,0.35,0.6,0.96,0.01,0.91,0.34,0.79,0.9,0.78,0.74,2.155,0,1,0,0,"06,07,08"
231,231,08X138,40.822373999999996,-73.85283100000002,0.851,0.04,0.02,0.26,0.7,0.95,0.01,0.89,0.42,0.94,0.97,0.92,0.81,2.355,0,0,0,0,"PK,0K,01,02,03,04,05"
232,232,08X140,40.823374,-73.90737800000002,0.875,0.11,0.0,0.35,0.61,0.96,0.02,0.9,0.4,0.88,0.82,0.87,0.84,2.26,0,1,0,0,"PK,0K,01,02,03,04,05"
233,233,08X146,40.825125,-73.90592,0.9109999999999999,0.13,0.01,0.42,0.55,0.97,0.0,0.91,0.36,0.95,0.9,0.92,0.83,2.26,0,0,0,0,"PK,0K,01,02,03,04,05"
234,234,08X152,40.823978000000004,-73.880504,0.9129999999999999,0.26,0.01,0.18,0.78,0.96,0.01,0.91,0.35,0.8,0.83,0.89,0.83,2.29,0,1,0,0,"PK,0K,01,02,03,04,05,SE"
235,235,08X182,40.818892,-73.85698199999999,0.73,0.04,0.08,0.28,0.62,0.9,0.02,0.92,0.32,0.85,0.75,0.82,0.8,2.68,0,1,0,0,"PK,0K,01,02,03,04,05"
236,236,08X269,40.820398,-73.892938,0.853,0.14,0.01,0.22,0.76,0.98,0.01,0.92,0.29,0.81,0.84,0.79,0.75,2.1950000000000003,0,1,0,1,"06,07,08,09,10,11,12"
237,237,08X301,40.82230300000001,-73.906686,0.823,0.22,0.0,0.41,0.57,0.98,0.01,0.88,0.45,0.84,0.89,0.87,0.8,1.96,0,0,0,1,"06,07,08"
238,238,08X302,40.81597100000001,-73.901686,0.9059999999999999,0.25,0.01,0.2,0.77,0.98,0.01,0.87,0.48,0.82,0.84,0.95,0.77,2.1950000000000003,0,1,0,0,"06,07,08"
239,239,08X304,40.827214,-73.829212,0.38799999999999996,0.01,0.07,0.05,0.59,0.64,0.27,0.95,0.13,0.9,0.94,0.96,0.9,3.02,1,0,0,0,"PK,0K,01,02,03,04,05"
240,240,08X333,40.820082,-73.898647,0.915,0.24,0.0,0.2,0.77,0.97,0.02,0.89,0.46,0.89,0.8,0.91,0.78,2.215,0,1,0,0,"PK,0K,01,02,03"
241,241,08X335,40.820082,-73.898647,0.8909999999999999,0.18,0.01,0.3,0.67,0.96,0.01,0.92,0.34,0.95,0.96,0.97,0.86,2.405,0,1,0,0,"04,05"
242,242,08X337,40.824884000000004,-73.873517,0.7809999999999999,0.09,0.04,0.28,0.68,0.96,0.01,0.93,0.2,0.97,0.97,0.86,0.8,2.72,1,0,0,0,"06,07,08"
243,243,08X367,40.815017,-73.856018,0.723,0.07,0.08,0.32,0.58,0.9,0.01,0.93,0.24,0.81,0.78,0.8,0.71,2.425,0,1,0,0,"06,07,08,09,10,11,12"
244,244,08X371,40.826997,-73.818271,0.56,0.03,0.05,0.15,0.59,0.74,0.21,0.93,0.25,0.88,0.87,0.87,0.76,2.6050000000000004,0,1,0,1,"06,07,08"
245,245,08X375,40.815017,-73.856018,0.818,0.17,0.02,0.33,0.63,0.97,0.0,0.89,0.4,0.79,0.75,0.79,0.76,2.09,0,0,0,1,"06,07,08"
246,246,08X376,40.821448,-73.855654,0.7559999999999999,0.11,0.07,0.22,0.68,0.91,0.01,0.9,0.32,0.84,0.71,0.74,0.74,2.24,0,1,0,0,"06,07,08,09,10,11,12"
247,247,08X424,40.815594,-73.885238,0.8759999999999999,0.27,0.0,0.21,0.77,0.98,0.01,0.9,0.35,0.83,0.74,0.83,0.82,2.065,0,1,0,1,"06,07,08"
248,248,08X448,40.823319,-73.860062,0.802,0.11,0.02,0.31,0.65,0.96,0.01,0.91,0.31,0.86,0.88,0.87,0.84,2.3200000000000003,1,0,0,0,"06,07,08"
249,249,08X467,40.826997,-73.818271,0.639,0.06,0.04,0.1,0.69,0.79,0.18,0.92,0.31,0.74,0.8,0.81,0.78,2.25,0,0,0,0,"06,07,08"
250,250,08X562,40.82910800000001,-73.85691,0.7959999999999999,0.15,0.23,0.18,0.56,0.74,0.01,0.92,0.29,0.93,0.95,0.8,0.79,2.2,0,0,0,0,"06,07,08"
251,251,09X004,40.841242,-73.898492,0.903,0.12,0.01,0.53,0.45,0.98,0.01,0.88,0.44,0.85,0.77,0.89,0.8,2.365,0,0,0,0,"0K,01,02,03,04,05,06,07,08"
252,252,09X011,40.839729999999996,-73.925913,0.9229999999999999,0.25,0.0,0.3,0.69,0.99,0.0,0.92,0.33,0.95,0.94,0.92,0.84,2.315,0,0,0,0,"0K,01,02,03,04"
253,253,09X022,40.832278,-73.914142,0.877,0.37,0.01,0.25,0.72,0.98,0.01,0.9,0.34,0.85,0.82,0.82,0.77,1.98,0,0,0,1,"05,06,07,08"
254,254,09X028,40.848338,-73.903702,0.922,0.32,0.01,0.18,0.81,0.98,0.01,0.91,0.33,0.9,0.8,0.89,0.93,2.375,1,0,0,0,"PK,0K,01,02,03,04,05"
255,255,09X035,40.82761,-73.91809,0.8340000000000001,0.25,0.01,0.29,0.68,0.97,0.01,0.93,0.23,0.89,0.87,0.86,0.81,2.38,0,1,0,0,"0K,01,02,03,04,05"
256,256,09X042,40.838559000000004,-73.903026,0.935,0.16,0.0,0.41,0.56,0.97,0.02,0.9,0.37,0.88,0.91,0.86,0.9,2.215,0,1,0,1,"PK,0K,01,02,03,04,05"
257,257,09X053,40.832774,-73.911831,0.919,0.25,0.01,0.33,0.64,0.97,0.02,0.9,0.42,0.91,0.88,0.92,0.8,2.525,1,0,0,0,"PK,0K,01,02,03,04,05"
258,258,09X055,40.835972999999996,-73.904838,0.9390000000000001,0.11,0.0,0.47,0.52,0.99,0.0,0.92,0.28,0.86,0.78,0.83,0.81,2.095,0,0,0,1,"PK,0K,01,02,03,04,05"
259,259,09X058,40.846275,-73.898878,0.91,0.2,0.0,0.26,0.71,0.97,0.01,0.9,0.43,0.87,0.79,0.86,0.79,2.245,0,1,0,0,"0K,01,02,03,04,05,06"
260,260,09X063,40.830895,-73.90238599999998,0.89,0.19,0.0,0.36,0.61,0.97,0.03,0.9,0.39,0.96,0.94,0.94,0.86,2.6,1,0,0,0,"PK,0K,01,02,03,04,05"
261,261,09X070,40.844394,-73.908023,0.9159999999999999,0.25,0.01,0.25,0.74,0.98,0.01,0.91,0.37,0.88,0.87,0.84,0.82,2.18,0,0,0,0,"0K,01,02,03,04,05"
262,262,09X073,40.83262,-73.926485,0.8909999999999999,0.22,0.0,0.25,0.74,0.99,0.01,0.9,0.41,0.85,0.82,0.82,0.83,2.085,0,0,0,0,"PK,0K,01,02,03,04,05"
263,263,09X109,40.851637,-73.918772,0.8740000000000001,0.25,0.0,0.2,0.8,0.99,0.01,0.91,0.32,0.79,0.69,0.73,0.79,2.18,0,0,0,0,"PK,0K,01,02,03,04,05"
264,264,09X110,40.834973,-73.900304,0.91,0.12,0.0,0.42,0.52,0.95,0.05,0.93,0.25,0.83,0.83,0.82,0.82,2.365,0,1,0,0,"PK,0K,01,02,03,04,05"
265,265,09X114,40.835007,-73.92334699999998,0.904,0.33,0.04,0.22,0.71,0.93,0.02,0.92,0.31,0.95,0.93,0.95,0.83,2.13,0,0,0,0,"0K,01,02,03,04"
266,266,09X117,40.84852100000001,-73.908447,0.9,0.41,0.02,0.17,0.8,0.97,0.01,0.89,0.39,0.77,0.7,0.8,0.8,2.02,0,0,0,1,"06,07,08"
